iss_date,DATA_DECESSO,DECESSI,,,,,,,
08/06/2021,04/10/2020,20,,,,,,,
08/06/2021,05/10/2020,38,,,,,,,
08/06/2021,06/10/2020,25,,,,,,,
08/06/2021,07/10/2020,33,,,,,,,
08/06/2021,08/10/2020,39,,,,,,,
08/06/2021,09/10/2020,44,,,,,,,
08/06/2021,10/10/2020,51,,,,,,,
08/06/2021,11/10/2020,56,,,,,,,
08/06/2021,12/10/2020,74,,,,,,,
08/06/2021,13/10/2020,71,,,,,,,
08/06/2021,14/10/2020,71,,,,,,,
08/06/2021,15/10/2020,68,,,,,,,
08/06/2021,16/10/2020,104,,,,,,,
08/06/2021,17/10/2020,89,,,,,,,
08/06/2021,18/10/2020,106,,,,,,,
08/06/2021,19/10/2020,105,,,,,,,
08/06/2021,20/10/2020,146,,,,,,,
08/06/2021,21/10/2020,147,,,,,,,
08/06/2021,22/10/2020,161,,,,,,,
08/06/2021,23/10/2020,180,,,,,,,
08/06/2021,24/10/2020,209,,,,,,,
08/06/2021,25/10/2020,198,,,,,,,
08/06/2021,26/10/2020,248,,,,,,,
08/06/2021,27/10/2020,235,,,,,,,
08/06/2021,28/10/2020,303,,,,,,,
08/06/2021,29/10/2020,299,,,,,,,
08/06/2021,30/10/2020,351,,,,,,,
08/06/2021,31/10/2020,373,,,,,,,
08/06/2021,01/11/2020,356,,,,,,,
08/06/2021,02/11/2020,443,,,,,,,
08/06/2021,03/11/2020,435,,,,,,,
08/06/2021,04/11/2020,471,,,,,,,
08/06/2021,05/11/2020,549,,,,,,,
08/06/2021,06/11/2020,516,,,,,,,
08/06/2021,07/11/2020,499,,,,,,,
08/06/2021,08/11/2020,568,,,,,,,
08/06/2021,09/11/2020,601,,,,,,,
08/06/2021,10/11/2020,661,,,,,,,
08/06/2021,11/11/2020,675,,,,,,,
08/06/2021,12/11/2020,727,,,,,,,
08/06/2021,13/11/2020,664,,,,,,,
08/06/2021,14/11/2020,690,,,,,,,
08/06/2021,15/11/2020,724,,,,,,,
08/06/2021,16/11/2020,763,,,,,,,
08/06/2021,17/11/2020,782,,,,,,,
08/06/2021,18/11/2020,790,,,,,,,
08/06/2021,19/11/2020,805,,,,,,,
08/06/2021,20/11/2020,784,,,,,,,
08/06/2021,21/11/2020,676,,,,,,,
08/06/2021,22/11/2020,719,,,,,,,
08/06/2021,23/11/2020,763,,,,,,,
08/06/2021,24/11/2020,766,,,,,,,
08/06/2021,25/11/2020,826,,,,,,,
08/06/2021,26/11/2020,733,,,,,,,
08/06/2021,27/11/2020,769,,,,,,,
08/06/2021,28/11/2020,728,,,,,,,
08/06/2021,29/11/2020,668,,,,,,,
08/06/2021,30/11/2020,683,,,,,,,
08/06/2021,01/12/2020,651,,,,,,,
08/06/2021,02/12/2020,719,,,,,,,
08/06/2021,03/12/2020,649,,,,,,,
08/06/2021,04/12/2020,689,,,,,,,
08/06/2021,05/12/2020,627,,,,,,,
08/06/2021,06/12/2020,650,,,,,,,
08/06/2021,07/12/2020,640,,,,,,,
08/06/2021,08/12/2020,601,,,,,,,
