iss_date,DATA_DECESSO,DECESSI
05/02/2021,10/11/2020,657
05/02/2021,11/11/2020,671
05/02/2021,12/11/2020,718
05/02/2021,13/11/2020,653
05/02/2021,14/11/2020,688
05/02/2021,15/11/2020,716
05/02/2021,16/11/2020,751
05/02/2021,17/11/2020,768
05/02/2021,18/11/2020,789
05/02/2021,19/11/2020,789
05/02/2021,20/11/2020,765
05/02/2021,21/11/2020,669
05/02/2021,22/11/2020,707
05/02/2021,23/11/2020,746
05/02/2021,24/11/2020,757
05/02/2021,25/11/2020,810
05/02/2021,26/11/2020,723
05/02/2021,27/11/2020,749
05/02/2021,28/11/2020,711
05/02/2021,29/11/2020,646
05/02/2021,30/11/2020,668
05/02/2021,01/12/2020,629
05/02/2021,02/12/2020,691
05/02/2021,03/12/2020,635
05/02/2021,04/12/2020,658
05/02/2021,05/12/2020,612
05/02/2021,06/12/2020,626
05/02/2021,07/12/2020,618
05/02/2021,08/12/2020,580
05/02/2021,09/12/2020,674
05/02/2021,10/12/2020,605
05/02/2021,11/12/2020,589
05/02/2021,12/12/2020,564
05/02/2021,13/12/2020,548
05/02/2021,14/12/2020,549
05/02/2021,15/12/2020,549
05/02/2021,16/12/2020,612
05/02/2021,17/12/2020,556
05/02/2021,18/12/2020,526
05/02/2021,19/12/2020,474
05/02/2021,20/12/2020,462
05/02/2021,21/12/2020,491
05/02/2021,22/12/2020,481
05/02/2021,23/12/2020,467
05/02/2021,24/12/2020,469
05/02/2021,25/12/2020,402
05/02/2021,26/12/2020,425
05/02/2021,27/12/2020,402
05/02/2021,28/12/2020,467
05/02/2021,29/12/2020,426
05/02/2021,30/12/2020,452
05/02/2021,31/12/2020,408
05/02/2021,01/01/2021,431
05/02/2021,02/01/2021,399
05/02/2021,03/01/2021,397
05/02/2021,04/01/2021,473
05/02/2021,05/01/2021,479
05/02/2021,06/01/2021,431
05/02/2021,07/01/2021,418
05/02/2021,08/01/2021,417
05/02/2021,09/01/2021,412
05/02/2021,10/01/2021,405
05/02/2021,11/01/2021,426
05/02/2021,12/01/2021,410
05/02/2021,13/01/2021,410
05/02/2021,14/01/2021,390
05/02/2021,15/01/2021,451
05/02/2021,16/01/2021,397
05/02/2021,17/01/2021,392
