DATA_INIZIO_SINTOMI,CASI,iss_date
11/06/2021,587,22/08/2022
11/06/2022,7513,22/08/2022
11/07/2020,83,22/08/2022
11/07/2021,1226,22/08/2022
11/07/2022,32583,22/08/2022
11/08/2020,276,22/08/2022
11/08/2021,3771,22/08/2022
11/08/2022,7088,22/08/2022
11/09/2020,674,22/08/2022
11/09/2021,2169,22/08/2022
11/10/2020,4418,22/08/2022
11/10/2021,1863,22/08/2022
11/11/2020,16037,22/08/2022
11/11/2021,4998,22/08/2022
11/12/2020,7552,22/08/2022
11/12/2021,11000,22/08/2022
12/01/2021,6719,22/08/2022
12/01/2022,46905,22/08/2022
12/02/2020,54,22/08/2022
12/02/2021,6373,22/08/2022
12/02/2022,13359,22/08/2022
12/03/2020,4806,22/08/2022
12/03/2021,13339,22/08/2022
12/03/2022,19175,22/08/2022
12/04/2020,1650,22/08/2022
12/04/2021,8666,22/08/2022
12/04/2022,19328,22/08/2022
12/05/2020,453,22/08/2022
12/05/2021,3127,22/08/2022
12/05/2022,11214,22/08/2022
12/06/2020,126,22/08/2022
12/06/2021,538,22/08/2022
12/06/2022,8665,22/08/2022
12/07/2020,82,22/08/2022
12/07/2021,1711,22/08/2022
12/07/2022,27374,22/08/2022
12/08/2020,286,22/08/2022
12/08/2021,3687,22/08/2022
12/08/2022,6432,22/08/2022
12/09/2020,666,22/08/2022
12/09/2021,2172,22/08/2022
12/10/2020,7077,22/08/2022
12/10/2021,1672,22/08/2022
12/11/2020,16037,22/08/2022
12/11/2021,5094,22/08/2022
12/12/2020,7289,22/08/2022
12/12/2021,11412,22/08/2022
13/01/2021,6328,22/08/2022
13/01/2022,44980,22/08/2022
13/02/2020,51,22/08/2022
13/02/2021,6034,22/08/2022
13/02/2022,13421,22/08/2022
13/03/2020,5371,22/08/2022
13/03/2021,12168,22/08/2022
13/03/2022,19228,22/08/2022
13/04/2020,1513,22/08/2022
13/04/2021,7654,22/08/2022
13/04/2022,19349,22/08/2022
13/05/2020,386,22/08/2022
13/05/2021,2877,22/08/2022
13/05/2022,9947,22/08/2022
13/06/2020,76,22/08/2022
13/06/2021,543,22/08/2022
13/06/2022,13447,22/08/2022
13/07/2020,109,22/08/2022
13/07/2021,1876,22/08/2022
13/07/2022,26302,22/08/2022
13/08/2020,314,22/08/2022
13/08/2021,3543,22/08/2022
13/08/2022,5598,22/08/2022
13/09/2020,621,22/08/2022
13/09/2021,2649,22/08/2022
13/10/2020,6752,22/08/2022
13/10/2021,1838,22/08/2022
13/11/2020,16560,22/08/2022
13/11/2021,5071,22/08/2022
13/12/2020,6426,22/08/2022
13/12/2021,14117,22/08/2022
14/01/2021,6148,22/08/2022
14/01/2022,42054,22/08/2022
14/02/2020,68,22/08/2022
14/02/2021,5964,22/08/2022
14/02/2022,20127,22/08/2022
14/03/2020,4690,22/08/2022
14/03/2021,11552,22/08/2022
14/03/2022,28214,22/08/2022
14/04/2020,1857,22/08/2022
14/04/2021,7369,22/08/2022
14/04/2022,17381,22/08/2022
14/05/2020,338,22/08/2022
14/05/2021,2596,22/08/2022
14/05/2022,8565,22/08/2022
14/06/2020,82,22/08/2022
14/06/2021,644,22/08/2022
14/06/2022,12409,22/08/2022
14/07/2020,115,22/08/2022
14/07/2021,2294,22/08/2022
14/07/2022,22537,22/08/2022
14/08/2020,311,22/08/2022
14/08/2021,3370,22/08/2022
14/08/2022,4711,22/08/2022
14/09/2020,906,22/08/2022
14/09/2021,2449,22/08/2022
14/10/2020,7464,22/08/2022
14/10/2021,1777,22/08/2022
14/11/2020,15698,22/08/2022
14/11/2021,5312,22/08/2022
14/12/2020,8898,22/08/2022
14/12/2021,13795,22/08/2022
15/01/2021,6363,22/08/2022
15/01/2022,41658,22/08/2022
15/02/2020,150,22/08/2022
15/02/2021,7997,22/08/2022
15/02/2022,16687,22/08/2022
15/03/2020,5858,22/08/2022
15/03/2021,14995,22/08/2022
15/03/2022,25544,22/08/2022
15/04/2020,2178,22/08/2022
15/04/2021,7125,22/08/2022
15/04/2022,16188,22/08/2022
15/05/2020,343,22/08/2022
15/05/2021,2403,22/08/2022
15/05/2022,7916,22/08/2022
15/06/2020,120,22/08/2022
15/06/2021,479,22/08/2022
15/06/2022,12631,22/08/2022
15/07/2020,101,22/08/2022
15/07/2021,2368,22/08/2022
15/07/2022,20471,22/08/2022
15/08/2020,360,22/08/2022
15/08/2021,3417,22/08/2022
15/08/2022,5686,22/08/2022
15/09/2020,921,22/08/2022
15/09/2021,2405,22/08/2022
15/10/2020,8347,22/08/2022
15/10/2021,1819,22/08/2022
15/11/2020,13909,22/08/2022
15/11/2021,6764,22/08/2022
15/12/2020,8130,22/08/2022
15/12/2021,13731,22/08/2022
16/01/2021,5760,22/08/2022
16/01/2022,42318,22/08/2022
16/02/2020,83,22/08/2022
16/02/2021,7575,22/08/2022
16/02/2022,16731,22/08/2022
16/03/2020,5338,22/08/2022
16/03/2021,12703,22/08/2022
16/03/2022,26257,22/08/2022
16/04/2020,1677,22/08/2022
16/04/2021,7069,22/08/2022
16/04/2022,14357,22/08/2022
16/05/2020,243,22/08/2022
16/05/2021,2163,22/08/2022
16/05/2022,12133,22/08/2022
16/06/2020,108,22/08/2022
16/06/2021,523,22/08/2022
16/06/2022,11947,22/08/2022
16/07/2020,96,22/08/2022
16/07/2021,2259,22/08/2022
16/07/2022,18098,22/08/2022
16/08/2020,372,22/08/2022
16/08/2021,4341,22/08/2022
16/08/2022,8312,22/08/2022
16/09/2020,846,22/08/2022
16/09/2021,2177,22/08/2022
16/10/2020,9419,22/08/2022
16/10/2021,1790,22/08/2022
16/11/2020,16420,22/08/2022
16/11/2021,6472,22/08/2022
16/12/2020,7834,22/08/2022
16/12/2021,13325,22/08/2022
17/01/2021,5294,22/08/2022
17/01/2022,55923,22/08/2022
17/02/2020,146,22/08/2022
17/02/2021,8320,22/08/2022
17/02/2022,15824,22/08/2022
17/03/2020,4555,22/08/2022
17/03/2021,12741,22/08/2022
17/03/2022,23500,22/08/2022
17/04/2020,1641,22/08/2022
17/04/2021,6307,22/08/2022
17/04/2022,12373,22/08/2022
17/05/2020,186,22/08/2022
17/05/2021,2511,22/08/2022
17/05/2022,9396,22/08/2022
17/06/2020,97,22/08/2022
17/06/2021,446,22/08/2022
17/06/2022,12076,22/08/2022
17/07/2020,105,22/08/2022
17/07/2021,2270,22/08/2022
17/07/2022,16639,22/08/2022
17/08/2020,581,22/08/2022
17/08/2021,4260,22/08/2022
17/08/2022,6347,22/08/2022
17/09/2020,865,22/08/2022
17/09/2021,2164,22/08/2022
17/10/2020,9146,22/08/2022
17/10/2021,1925,22/08/2022
17/11/2020,13162,22/08/2022
17/11/2021,6490,22/08/2022
17/12/2020,7392,22/08/2022
17/12/2021,14516,22/08/2022
18/01/2021,6927,22/08/2022
18/01/2022,50192,22/08/2022
18/02/2020,163,22/08/2022
18/02/2021,8451,22/08/2022
18/02/2022,14550,22/08/2022
18/03/2020,4781,22/08/2022
18/03/2021,12186,22/08/2022
18/03/2022,22060,22/08/2022
18/04/2020,1302,22/08/2022
18/04/2021,6572,22/08/2022
18/04/2022,16161,22/08/2022
18/05/2020,306,22/08/2022
18/05/2021,2365,22/08/2022
18/05/2022,8926,22/08/2022
18/06/2020,97,22/08/2022
18/06/2021,396,22/08/2022
18/06/2022,11357,22/08/2022
18/07/2020,98,22/08/2022
18/07/2021,2575,22/08/2022
18/07/2022,26910,22/08/2022
18/08/2020,635,22/08/2022
18/08/2021,4284,22/08/2022
18/08/2022,4905,22/08/2022
18/09/2020,873,22/08/2022
18/09/2021,1955,22/08/2022
18/10/2020,9267,22/08/2022
18/10/2021,2582,22/08/2022
18/11/2020,14036,22/08/2022
18/11/2021,6523,22/08/2022
18/12/2020,7883,22/08/2022
18/12/2021,14875,22/08/2022
19/01/2021,6319,22/08/2022
19/01/2022,46257,22/08/2022
19/02/2020,145,22/08/2022
19/02/2021,8586,22/08/2022
19/02/2022,13068,22/08/2022
19/03/2020,4270,22/08/2022
19/03/2021,12162,22/08/2022
19/03/2022,20623,22/08/2022
19/04/2020,1047,22/08/2022
19/04/2021,7851,22/08/2022
19/04/2022,25378,22/08/2022
19/05/2020,254,22/08/2022
19/05/2021,2161,22/08/2022
19/05/2022,7473,22/08/2022
19/06/2020,92,22/08/2022
19/06/2021,339,22/08/2022
19/06/2022,12657,22/08/2022
19/07/2020,93,22/08/2022
19/07/2021,2953,22/08/2022
19/07/2022,21462,22/08/2022
19/08/2020,584,22/08/2022
19/08/2021,3872,22/08/2022
19/08/2022,3503,22/08/2022
19/09/2020,857,22/08/2022
19/09/2021,1851,22/08/2022
19/10/2020,13019,22/08/2022
19/10/2021,2456,22/08/2022
19/11/2020,12263,22/08/2022
19/11/2021,6314,22/08/2022
19/12/2020,7115,22/08/2022
19/12/2021,16317,22/08/2022
20/01/2021,6798,22/08/2022
20/01/2022,43662,22/08/2022
20/02/2020,408,22/08/2022
20/02/2021,9282,22/08/2022
20/02/2022,13049,22/08/2022
20/03/2020,6193,22/08/2022
20/03/2021,12110,22/08/2022
20/03/2022,20225,22/08/2022
20/04/2020,1910,22/08/2022
20/04/2021,7498,22/08/2022
20/04/2022,22552,22/08/2022
20/05/2020,294,22/08/2022
20/05/2021,1992,22/08/2022
20/05/2022,6892,22/08/2022
20/06/2020,69,22/08/2022
20/06/2021,362,22/08/2022
20/06/2022,19849,22/08/2022
20/07/2020,144,22/08/2022
20/07/2021,3228,22/08/2022
20/07/2022,20169,22/08/2022
20/08/2020,597,22/08/2022
20/08/2021,3768,22/08/2022
20/08/2022,1860,22/08/2022
20/09/2020,838,22/08/2022
20/09/2021,2163,22/08/2022
20/10/2020,14056,22/08/2022
20/10/2021,2549,22/08/2022
20/11/2020,13035,22/08/2022
20/11/2021,6578,22/08/2022
20/12/2020,7617,22/08/2022
20/12/2021,23978,22/08/2022
21/01/2021,5929,22/08/2022
21/01/2022,39559,22/08/2022
21/02/2020,317,22/08/2022
21/02/2021,8496,22/08/2022
21/02/2022,17294,22/08/2022
21/03/2020,3839,22/08/2022
21/03/2021,10698,22/08/2022
21/03/2022,29549,22/08/2022
21/04/2020,1197,22/08/2022
21/04/2021,7271,22/08/2022
21/04/2022,20333,22/08/2022
21/05/2020,228,22/08/2022
21/05/2021,1798,22/08/2022
21/05/2022,6142,22/08/2022
21/06/2020,66,22/08/2022
21/06/2021,393,22/08/2022
21/06/2022,17655,22/08/2022
21/07/2020,130,22/08/2022
21/07/2021,3203,22/08/2022
21/07/2022,17457,22/08/2022
21/08/2020,640,22/08/2022
21/08/2021,3493,22/08/2022
21/08/2022,500,22/08/2022
21/09/2020,992,22/08/2022
21/09/2021,1986,22/08/2022
21/10/2020,13376,22/08/2022
21/10/2021,2565,22/08/2022
21/11/2020,10480,22/08/2022
21/11/2021,6220,22/08/2022
21/12/2020,8636,22/08/2022
21/12/2021,24208,22/08/2022
22/01/2021,6308,22/08/2022
22/01/2022,35917,22/08/2022
22/02/2020,400,22/08/2022
22/02/2021,11307,22/08/2022
22/02/2022,14731,22/08/2022
22/03/2020,3796,22/08/2022
22/03/2021,13937,22/08/2022
22/03/2022,25464,22/08/2022
22/04/2020,1233,22/08/2022
22/04/2021,6988,22/08/2022
22/04/2022,17936,22/08/2022
22/05/2020,193,22/08/2022
22/05/2021,1577,22/08/2022
22/05/2022,5865,22/08/2022
22/06/2020,90,22/08/2022
22/06/2021,408,22/08/2022
22/06/2022,17783,22/08/2022
22/07/2020,123,22/08/2022
22/07/2021,3002,22/08/2022
22/07/2022,16494,22/08/2022
22/08/2020,600,22/08/2022
22/08/2021,3569,22/08/2022
22/08/2022,83,22/08/2022
22/09/2020,967,22/08/2022
22/09/2021,1988,22/08/2022
22/10/2020,13518,22/08/2022
22/10/2021,2674,22/08/2022
22/11/2020,8917,22/08/2022
22/11/2021,8177,22/08/2022
22/12/2020,8465,22/08/2022
22/12/2021,25978,22/08/2022
23/01/2021,6213,22/08/2022
23/01/2022,34061,22/08/2022
23/02/2020,500,22/08/2022
23/02/2021,10340,22/08/2022
23/02/2022,15201,22/08/2022
23/03/2020,4381,22/08/2022
23/03/2021,12285,22/08/2022
23/03/2022,25287,22/08/2022
23/04/2020,1251,22/08/2022
23/04/2021,6893,22/08/2022
23/04/2022,14529,22/08/2022
23/05/2020,142,22/08/2022
23/05/2021,1590,22/08/2022
23/05/2022,8808,22/08/2022
23/06/2020,79,22/08/2022
23/06/2021,389,22/08/2022
23/06/2022,17095,22/08/2022
23/07/2020,146,22/08/2022
23/07/2021,2949,22/08/2022
23/07/2022,14405,22/08/2022
23/08/2020,615,22/08/2022
23/08/2021,4250,22/08/2022
23/09/2020,914,22/08/2022
23/09/2021,1891,22/08/2022
23/10/2020,15259,22/08/2022
23/10/2021,2598,22/08/2022
23/11/2020,11498,22/08/2022
23/11/2021,7625,22/08/2022
23/12/2020,8715,22/08/2022
23/12/2021,26913,22/08/2022
24/01/2021,5667,22/08/2022
24/01/2022,46797,22/08/2022
24/02/2020,676,22/08/2022
24/02/2021,10570,22/08/2022
24/02/2022,12657,22/08/2022
24/03/2020,3578,22/08/2022
24/03/2021,11853,22/08/2022
24/03/2022,23463,22/08/2022
24/04/2020,1125,22/08/2022
24/04/2021,6283,22/08/2022
24/04/2022,12476,22/08/2022
24/05/2020,107,22/08/2022
24/05/2021,1885,22/08/2022
24/05/2022,6936,22/08/2022
24/06/2020,99,22/08/2022
24/06/2021,363,22/08/2022
24/06/2022,16932,22/08/2022
24/07/2020,117,22/08/2022
24/07/2021,2904,22/08/2022
24/07/2022,13540,22/08/2022
24/08/2020,705,22/08/2022
24/08/2021,3763,22/08/2022
24/09/2020,868,22/08/2022
24/09/2021,1922,22/08/2022
24/10/2020,13912,22/08/2022
24/10/2021,2560,22/08/2022
24/11/2020,10382,22/08/2022
24/11/2021,7717,22/08/2022
24/12/2020,8784,22/08/2022
24/12/2021,30060,22/08/2022
25/01/2021,7081,22/08/2022
25/01/2022,39496,22/08/2022
25/02/2020,814,22/08/2022
25/02/2021,10160,22/08/2022
25/02/2022,11612,22/08/2022
25/03/2020,3834,22/08/2022
25/03/2021,11849,22/08/2022
25/03/2022,21554,22/08/2022
25/04/2020,884,22/08/2022
25/04/2021,5941,22/08/2022
25/04/2022,15407,22/08/2022
25/05/2020,237,22/08/2022
25/05/2021,1606,22/08/2022
25/05/2022,6578,22/08/2022
25/06/2020,91,22/08/2022
25/06/2021,347,22/08/2022
25/06/2022,16096,22/08/2022
25/07/2020,131,22/08/2022
25/07/2021,3192,22/08/2022
25/07/2022,21653,22/08/2022
25/08/2020,652,22/08/2022
25/08/2021,3730,22/08/2022
25/09/2020,1003,22/08/2022
25/09/2021,1680,22/08/2022
25/10/2020,14172,22/08/2022
25/10/2021,3191,22/08/2022
25/11/2020,10109,22/08/2022
25/11/2021,7645,22/08/2022
25/12/2020,7628,22/08/2022
25/12/2021,30465,22/08/2022
26/01/2021,6162,22/08/2022
26/01/2022,36346,22/08/2022
26/02/2020,741,22/08/2022
26/02/2021,10753,22/08/2022
26/02/2022,10528,22/08/2022
26/03/2020,3291,22/08/2022
26/03/2021,11211,22/08/2022
26/03/2022,20000,22/08/2022
26/04/2020,678,22/08/2022
26/04/2021,7096,22/08/2022
26/04/2022,22833,22/08/2022
26/05/2020,186,22/08/2022
26/05/2021,1581,22/08/2022
26/05/2022,5782,22/08/2022
26/06/2020,110,22/08/2022
26/06/2021,322,22/08/2022
26/06/2022,16742,22/08/2022
26/07/2020,102,22/08/2022
26/07/2021,3807,22/08/2022
26/07/2022,17206,22/08/2022
26/08/2020,642,22/08/2022
26/08/2021,3282,22/08/2022
26/09/2020,972,22/08/2022
26/09/2021,1679,22/08/2022
26/10/2020,19431,22/08/2022
26/10/2021,2880,22/08/2022
26/11/2020,9573,22/08/2022
26/11/2021,7659,22/08/2022
26/12/2020,8414,22/08/2022
26/12/2021,41938,22/08/2022
27/01/2021,6133,22/08/2022
27/01/2022,32460,22/08/2022
27/02/2020,897,22/08/2022
27/02/2021,10158,22/08/2022
27/02/2022,10220,22/08/2022
27/03/2020,3525,22/08/2022
27/03/2021,10114,22/08/2022
27/03/2022,18958,22/08/2022
27/04/2020,1126,22/08/2022
27/04/2021,6218,22/08/2022
27/04/2022,18429,22/08/2022
27/05/2020,213,22/08/2022
27/05/2021,1461,22/08/2022
27/05/2022,5464,22/08/2022
27/06/2020,77,22/08/2022
27/06/2021,380,22/08/2022
27/06/2022,25993,22/08/2022
27/07/2020,138,22/08/2022
27/07/2021,3786,22/08/2022
27/07/2022,15669,22/08/2022
27/08/2020,587,22/08/2022
27/08/2021,3194,22/08/2022
27/09/2020,1022,22/08/2022
