DATARICOVERO1,RICOVERI,iss_date
11/03/2021,1739,25/08/2022
11/03/2022,641,25/08/2022
11/04/2020,829,25/08/2022
11/04/2021,1114,25/08/2022
11/04/2022,745,25/08/2022
11/05/2020,263,25/08/2022
11/05/2021,533,25/08/2022
11/05/2022,558,25/08/2022
11/06/2020,67,25/08/2022
11/06/2021,127,25/08/2022
11/06/2022,301,25/08/2022
11/07/2020,55,25/08/2022
11/07/2021,71,25/08/2022
11/07/2022,1030,25/08/2022
11/08/2020,62,25/08/2022
11/08/2021,332,25/08/2022
11/08/2022,469,25/08/2022
11/09/2020,211,25/08/2022
11/09/2021,293,25/08/2022
11/10/2020,593,25/08/2022
11/10/2021,146,25/08/2022
11/11/2020,2631,25/08/2022
11/11/2021,300,25/08/2022
11/12/2020,1444,25/08/2022
11/12/2021,624,25/08/2022
12/01/2021,1309,25/08/2022
12/01/2022,1688,25/08/2022
12/02/2021,939,25/08/2022
12/02/2022,876,25/08/2022
12/03/2020,1907,25/08/2022
12/03/2021,1876,25/08/2022
12/03/2022,572,25/08/2022
12/04/2020,671,25/08/2022
12/04/2021,1226,25/08/2022
12/04/2022,782,25/08/2022
12/05/2020,194,25/08/2022
12/05/2021,551,25/08/2022
12/05/2022,552,25/08/2022
12/06/2020,93,25/08/2022
12/06/2021,127,25/08/2022
12/06/2022,314,25/08/2022
12/07/2020,45,25/08/2022
12/07/2021,84,25/08/2022
12/07/2022,1005,25/08/2022
12/08/2020,110,25/08/2022
12/08/2021,324,25/08/2022
12/08/2022,414,25/08/2022
12/09/2020,186,25/08/2022
12/09/2021,244,25/08/2022
12/10/2020,762,25/08/2022
12/10/2021,161,25/08/2022
12/11/2020,2534,25/08/2022
12/11/2021,366,25/08/2022
12/12/2020,1266,25/08/2022
12/12/2021,524,25/08/2022
13/01/2021,1279,25/08/2022
13/01/2022,1629,25/08/2022
13/02/2021,850,25/08/2022
13/02/2022,707,25/08/2022
13/03/2020,2337,25/08/2022
13/03/2021,1848,25/08/2022
13/03/2022,566,25/08/2022
13/04/2020,628,25/08/2022
13/04/2021,1309,25/08/2022
13/04/2022,769,25/08/2022
13/05/2020,210,25/08/2022
13/05/2021,543,25/08/2022
13/05/2022,475,25/08/2022
13/06/2020,71,25/08/2022
13/06/2021,112,25/08/2022
13/06/2022,406,25/08/2022
13/07/2020,91,25/08/2022
13/07/2021,109,25/08/2022
13/07/2022,957,25/08/2022
13/08/2020,87,25/08/2022
13/08/2021,361,25/08/2022
13/08/2022,337,25/08/2022
13/09/2020,175,25/08/2022
13/09/2021,327,25/08/2022
13/10/2020,820,25/08/2022
13/10/2021,159,25/08/2022
13/11/2020,2556,25/08/2022
13/11/2021,356,25/08/2022
13/12/2020,1045,25/08/2022
13/12/2021,706,25/08/2022
14/01/2021,1288,25/08/2022
14/01/2022,1647,25/08/2022
14/02/2021,741,25/08/2022
14/02/2022,975,25/08/2022
14/03/2020,1994,25/08/2022
14/03/2021,1618,25/08/2022
14/03/2022,681,25/08/2022
14/04/2020,877,25/08/2022
14/04/2021,1147,25/08/2022
14/04/2022,772,25/08/2022
14/05/2020,214,25/08/2022
14/05/2021,498,25/08/2022
14/05/2022,447,25/08/2022
14/06/2020,58,25/08/2022
14/06/2021,110,25/08/2022
14/06/2022,465,25/08/2022
14/07/2020,74,25/08/2022
14/07/2021,95,25/08/2022
14/07/2022,1003,25/08/2022
14/08/2020,83,25/08/2022
14/08/2021,324,25/08/2022
14/08/2022,296,25/08/2022
14/09/2020,231,25/08/2022
14/09/2021,272,25/08/2022
14/10/2020,847,25/08/2022
14/10/2021,142,25/08/2022
14/11/2020,2326,25/08/2022
14/11/2021,302,25/08/2022
14/12/2020,1355,25/08/2022
14/12/2021,696,25/08/2022
15/01/2021,1249,25/08/2022
15/01/2022,1568,25/08/2022
15/02/2021,977,25/08/2022
15/02/2022,872,25/08/2022
15/03/2020,1909,25/08/2022
15/03/2021,2039,25/08/2022
15/03/2022,769,25/08/2022
15/04/2020,726,25/08/2022
15/04/2021,1127,25/08/2022
15/04/2022,717,25/08/2022
15/05/2020,223,25/08/2022
15/05/2021,417,25/08/2022
15/05/2022,361,25/08/2022
15/06/2020,95,25/08/2022
15/06/2021,125,25/08/2022
15/06/2022,472,25/08/2022
15/07/2020,74,25/08/2022
15/07/2021,105,25/08/2022
15/07/2022,946,25/08/2022
15/08/2020,65,25/08/2022
15/08/2021,302,25/08/2022
15/08/2022,322,25/08/2022
15/09/2020,250,25/08/2022
15/09/2021,249,25/08/2022
