DATA_DECESSO,DECESSI,iss_date
09/12/2021,102,25/08/2022
10/01/2021,444,25/08/2022
10/01/2022,249,25/08/2022
10/02/2021,288,25/08/2022
10/02/2022,281,25/08/2022
10/03/2020,283,25/08/2022
10/03/2021,360,25/08/2022
10/03/2022,127,25/08/2022
10/04/2020,610,25/08/2022
10/04/2021,391,25/08/2022
10/04/2022,110,25/08/2022
10/05/2020,170,25/08/2022
10/05/2021,199,25/08/2022
10/05/2022,89,25/08/2022
10/06/2020,38,25/08/2022
10/06/2021,35,25/08/2022
10/06/2022,37,25/08/2022
10/07/2020,11,25/08/2022
10/07/2021,11,25/08/2022
10/07/2022,92,25/08/2022
10/08/2020,10,25/08/2022
10/08/2021,23,25/08/2022
10/08/2022,97,25/08/2022
10/09/2020,9,25/08/2022
10/09/2021,44,25/08/2022
10/10/2020,52,25/08/2022
10/10/2021,32,25/08/2022
10/11/2020,661,25/08/2022
10/11/2021,57,25/08/2022
10/12/2020,628,25/08/2022
10/12/2021,115,25/08/2022
11/01/2021,474,25/08/2022
11/01/2022,303,25/08/2022
11/02/2021,299,25/08/2022
11/02/2022,282,25/08/2022
11/03/2020,312,25/08/2022
11/03/2021,378,25/08/2022
11/03/2022,125,25/08/2022
11/04/2020,586,25/08/2022
11/04/2021,382,25/08/2022
11/04/2022,139,25/08/2022
11/05/2020,163,25/08/2022
11/05/2021,197,25/08/2022
11/05/2022,95,25/08/2022
11/06/2020,39,25/08/2022
11/06/2021,32,25/08/2022
11/06/2022,40,25/08/2022
11/07/2020,7,25/08/2022
11/07/2021,8,25/08/2022
11/07/2022,89,25/08/2022
11/08/2020,7,25/08/2022
11/08/2021,39,25/08/2022
11/08/2022,101,25/08/2022
11/09/2020,9,25/08/2022
11/09/2021,61,25/08/2022
11/10/2020,56,25/08/2022
11/10/2021,34,25/08/2022
11/11/2020,675,25/08/2022
11/11/2021,64,25/08/2022
11/12/2020,609,25/08/2022
11/12/2021,103,25/08/2022
12/01/2021,470,25/08/2022
12/01/2022,279,25/08/2022
12/02/2021,287,25/08/2022
12/02/2022,270,25/08/2022
12/03/2020,323,25/08/2022
12/03/2021,398,25/08/2022
12/03/2022,103,25/08/2022
12/04/2020,578,25/08/2022
12/04/2021,408,25/08/2022
12/04/2022,138,25/08/2022
12/05/2020,160,25/08/2022
12/05/2021,158,25/08/2022
12/05/2022,78,25/08/2022
12/06/2020,34,25/08/2022
12/06/2021,36,25/08/2022
12/06/2022,47,25/08/2022
12/07/2020,10,25/08/2022
12/07/2021,12,25/08/2022
12/07/2022,121,25/08/2022
12/08/2020,5,25/08/2022
12/08/2021,33,25/08/2022
12/08/2022,76,25/08/2022
12/09/2020,14,25/08/2022
12/09/2021,59,25/08/2022
12/10/2020,75,25/08/2022
12/10/2021,34,25/08/2022
12/11/2020,725,25/08/2022
12/11/2021,52,25/08/2022
12/12/2020,595,25/08/2022
12/12/2021,118,25/08/2022
13/01/2021,452,25/08/2022
13/01/2022,295,25/08/2022
13/02/2021,253,25/08/2022
13/02/2022,225,25/08/2022
13/03/2020,379,25/08/2022
13/03/2021,361,25/08/2022
13/03/2022,111,25/08/2022
13/04/2020,533,25/08/2022
13/04/2021,383,25/08/2022
13/04/2022,133,25/08/2022
13/05/2020,145,25/08/2022
13/05/2021,146,25/08/2022
13/05/2022,96,25/08/2022
13/06/2020,24,25/08/2022
13/06/2021,26,25/08/2022
13/06/2022,41,25/08/2022
13/07/2020,22,25/08/2022
13/07/2021,8,25/08/2022
13/07/2022,97,25/08/2022
13/08/2020,8,25/08/2022
13/08/2021,39,25/08/2022
13/08/2022,75,25/08/2022
13/09/2020,14,25/08/2022
13/09/2021,52,25/08/2022
13/10/2020,69,25/08/2022
13/10/2021,33,25/08/2022
13/11/2020,667,25/08/2022
13/11/2021,50,25/08/2022
13/12/2020,569,25/08/2022
13/12/2021,100,25/08/2022
14/01/2021,427,25/08/2022
14/01/2022,320,25/08/2022
14/02/2021,270,25/08/2022
14/02/2022,307,25/08/2022
14/03/2020,443,25/08/2022
14/03/2021,310,25/08/2022
14/03/2022,142,25/08/2022
14/04/2020,538,25/08/2022
14/04/2021,343,25/08/2022
14/04/2022,138,25/08/2022
14/05/2020,140,25/08/2022
14/05/2021,150,25/08/2022
14/05/2022,103,25/08/2022
14/06/2020,22,25/08/2022
14/06/2021,36,25/08/2022
14/06/2022,35,25/08/2022
14/07/2020,7,25/08/2022
14/07/2021,14,25/08/2022
14/07/2022,118,25/08/2022
14/08/2020,10,25/08/2022
14/08/2021,41,25/08/2022
14/08/2022,66,25/08/2022
14/09/2020,13,25/08/2022
14/09/2021,66,25/08/2022
14/10/2020,71,25/08/2022
14/10/2021,28,25/08/2022
14/11/2020,695,25/08/2022
14/11/2021,50,25/08/2022
14/12/2020,573,25/08/2022
14/12/2021,122,25/08/2022
15/01/2021,506,25/08/2022
15/01/2022,285,25/08/2022
15/02/2021,282,25/08/2022
15/02/2022,260,25/08/2022
15/03/2020,432,25/08/2022
15/03/2021,373,25/08/2022
15/03/2022,109,25/08/2022
15/04/2020,511,25/08/2022
15/04/2021,328,25/08/2022
15/04/2022,130,25/08/2022
15/05/2020,155,25/08/2022
15/05/2021,139,25/08/2022
15/05/2022,112,25/08/2022
15/06/2020,38,25/08/2022
15/06/2021,31,25/08/2022
15/06/2022,47,25/08/2022
15/07/2020,8,25/08/2022
15/07/2021,9,25/08/2022
15/07/2022,116,25/08/2022
15/08/2020,<5,25/08/2022
15/08/2021,33,25/08/2022
15/08/2022,64,25/08/2022
15/09/2020,21,25/08/2022
15/09/2021,64,25/08/2022
15/10/2020,69,25/08/2022
15/10/2021,16,25/08/2022
15/11/2020,722,25/08/2022
15/11/2021,52,25/08/2022
15/12/2020,584,25/08/2022
15/12/2021,127,25/08/2022
16/01/2021,446,25/08/2022
16/01/2022,309,25/08/2022
16/02/2021,287,25/08/2022
16/02/2022,257,25/08/2022
16/03/2020,511,25/08/2022
16/03/2021,432,25/08/2022
16/03/2022,132,25/08/2022
16/04/2020,449,25/08/2022
16/04/2021,325,25/08/2022
16/04/2022,115,25/08/2022
16/05/2020,103,25/08/2022
16/05/2021,127,25/08/2022
16/05/2022,83,25/08/2022
16/06/2020,44,25/08/2022
16/06/2021,37,25/08/2022
16/06/2022,33,25/08/2022
16/07/2020,17,25/08/2022
16/07/2021,7,25/08/2022
16/07/2022,117,25/08/2022
16/08/2020,10,25/08/2022
16/08/2021,40,25/08/2022
16/08/2022,89,25/08/2022
16/09/2020,16,25/08/2022
16/09/2021,52,25/08/2022
16/10/2020,102,25/08/2022
16/10/2021,34,25/08/2022
16/11/2020,764,25/08/2022
16/11/2021,73,25/08/2022
16/12/2020,641,25/08/2022
16/12/2021,125,25/08/2022
17/01/2021,444,25/08/2022
17/01/2022,386,25/08/2022
17/02/2021,338,25/08/2022
17/02/2022,248,25/08/2022
17/03/2020,573,25/08/2022
17/03/2021,402,25/08/2022
17/03/2022,117,25/08/2022
17/04/2020,477,25/08/2022
17/04/2021,337,25/08/2022
17/04/2022,135,25/08/2022
17/05/2020,119,25/08/2022
17/05/2021,143,25/08/2022
17/05/2022,77,25/08/2022
17/06/2020,35,25/08/2022
17/06/2021,31,25/08/2022
17/06/2022,49,25/08/2022
17/07/2020,6,25/08/2022
17/07/2021,7,25/08/2022
17/07/2022,133,25/08/2022
17/08/2020,<5,25/08/2022
17/08/2021,62,25/08/2022
17/08/2022,88,25/08/2022
17/09/2020,16,25/08/2022
17/09/2021,45,25/08/2022
17/10/2020,88,25/08/2022
17/10/2021,40,25/08/2022
17/11/2020,791,25/08/2022
17/11/2021,63,25/08/2022
17/12/2020,590,25/08/2022
17/12/2021,131,25/08/2022
18/01/2021,477,25/08/2022
18/01/2022,368,25/08/2022
18/02/2021,306,25/08/2022
18/02/2022,236,25/08/2022
18/03/2020,639,25/08/2022
18/03/2021,418,25/08/2022
18/03/2022,92,25/08/2022
18/04/2020,462,25/08/2022
18/04/2021,314,25/08/2022
18/04/2022,113,25/08/2022
18/05/2020,100,25/08/2022
18/05/2021,119,25/08/2022
18/05/2022,87,25/08/2022
18/06/2020,44,25/08/2022
18/06/2021,24,25/08/2022
18/06/2022,38,25/08/2022
18/07/2020,14,25/08/2022
18/07/2021,7,25/08/2022
18/07/2022,138,25/08/2022
18/08/2020,6,25/08/2022
18/08/2021,42,25/08/2022
18/08/2022,89,25/08/2022
18/09/2020,24,25/08/2022
18/09/2021,57,25/08/2022
18/10/2020,102,25/08/2022
18/10/2021,37,25/08/2022
18/11/2020,802,25/08/2022
18/11/2021,51,25/08/2022
18/12/2020,554,25/08/2022
18/12/2021,129,25/08/2022
19/01/2021,470,25/08/2022
19/01/2022,322,25/08/2022
19/02/2021,293,25/08/2022
19/02/2022,189,25/08/2022
19/03/2020,654,25/08/2022
19/03/2021,399,25/08/2022
19/03/2022,112,25/08/2022
19/04/2020,461,25/08/2022
19/04/2021,322,25/08/2022
19/04/2022,152,25/08/2022
19/05/2020,92,25/08/2022
19/05/2021,108,25/08/2022
19/05/2022,74,25/08/2022
19/06/2020,34,25/08/2022
19/06/2021,17,25/08/2022
19/06/2022,45,25/08/2022
19/07/2020,10,25/08/2022
19/07/2021,13,25/08/2022
19/07/2022,140,25/08/2022
19/08/2020,7,25/08/2022
19/08/2021,46,25/08/2022
19/08/2022,65,25/08/2022
19/09/2020,16,25/08/2022
19/09/2021,40,25/08/2022
19/10/2020,104,25/08/2022
19/10/2021,25,25/08/2022
19/11/2020,810,25/08/2022
19/11/2021,54,25/08/2022
19/12/2020,512,25/08/2022
19/12/2021,114,25/08/2022
20/01/2021,436,25/08/2022
20/01/2022,366,25/08/2022
20/02/2020,<5,25/08/2022
20/02/2021,253,25/08/2022
20/02/2022,185,25/08/2022
20/03/2020,750,25/08/2022
20/03/2021,380,25/08/2022
20/03/2022,116,25/08/2022
20/04/2020,444,25/08/2022
20/04/2021,333,25/08/2022
20/04/2022,137,25/08/2022
20/05/2020,88,25/08/2022
20/05/2021,129,25/08/2022
20/05/2022,85,25/08/2022
20/06/2020,19,25/08/2022
20/06/2021,24,25/08/2022
20/06/2022,51,25/08/2022
20/07/2020,8,25/08/2022
20/07/2021,10,25/08/2022
20/07/2022,144,25/08/2022
20/08/2020,11,25/08/2022
20/08/2021,43,25/08/2022
20/08/2022,50,25/08/2022
20/09/2020,19,25/08/2022
20/09/2021,56,25/08/2022
20/10/2020,143,25/08/2022
20/10/2021,29,25/08/2022
20/11/2020,779,25/08/2022
20/11/2021,74,25/08/2022
20/12/2020,501,25/08/2022
20/12/2021,142,25/08/2022
21/01/2021,421,25/08/2022
21/01/2022,358,25/08/2022
21/02/2020,<5,25/08/2022
21/02/2021,267,25/08/2022
21/02/2022,230,25/08/2022
21/03/2020,817,25/08/2022
21/03/2021,410,25/08/2022
21/03/2022,130,25/08/2022
21/04/2020,364,25/08/2022
21/04/2021,344,25/08/2022
21/04/2022,142,25/08/2022
21/05/2020,78,25/08/2022
21/05/2021,90,25/08/2022
21/05/2022,73,25/08/2022
21/06/2020,25,25/08/2022
21/06/2021,18,25/08/2022
21/06/2022,52,25/08/2022
21/07/2020,14,25/08/2022
21/07/2021,12,25/08/2022
21/07/2022,134,25/08/2022
21/08/2020,<5,25/08/2022
21/08/2021,28,25/08/2022
21/08/2022,53,25/08/2022
21/09/2020,16,25/08/2022
21/09/2021,51,25/08/2022
21/10/2020,145,25/08/2022
21/10/2021,34,25/08/2022
21/11/2020,681,25/08/2022
21/11/2021,66,25/08/2022
21/12/2020,508,25/08/2022
21/12/2021,144,25/08/2022
22/01/2021,426,25/08/2022
22/01/2022,344,25/08/2022
22/02/2020,<5,25/08/2022
22/02/2021,356,25/08/2022
22/02/2022,196,25/08/2022
22/03/2020,811,25/08/2022
22/03/2021,394,25/08/2022
22/03/2022,118,25/08/2022
22/04/2020,385,25/08/2022
22/04/2021,290,25/08/2022
22/04/2022,108,25/08/2022
22/05/2020,84,25/08/2022
22/05/2021,110,25/08/2022
22/05/2022,71,25/08/2022
22/06/2020,31,25/08/2022
22/06/2021,24,25/08/2022
22/06/2022,59,25/08/2022
