DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
11/07/2020,164,25/08/2022
11/07/2021,798,25/08/2022
11/07/2022,153418,25/08/2022
11/08/2020,540,25/08/2022
11/08/2021,7029,25/08/2022
11/08/2022,25107,25/08/2022
11/09/2020,1620,25/08/2022
11/09/2021,3948,25/08/2022
11/10/2020,3421,25/08/2022
11/10/2021,3048,25/08/2022
11/11/2020,39767,25/08/2022
11/11/2021,8174,25/08/2022
11/12/2020,19823,25/08/2022
11/12/2021,19490,25/08/2022
12/01/2021,16542,25/08/2022
12/01/2022,189525,25/08/2022
12/02/2021,13171,25/08/2022
12/02/2022,49982,25/08/2022
12/03/2020,3145,25/08/2022
12/03/2021,25418,25/08/2022
12/03/2022,51049,25/08/2022
12/04/2020,1918,25/08/2022
12/04/2021,16876,25/08/2022
12/04/2022,61941,25/08/2022
12/05/2020,915,25/08/2022
12/05/2021,7518,25/08/2022
12/05/2022,38338,25/08/2022
12/06/2020,369,25/08/2022
12/06/2021,1186,25/08/2022
12/06/2022,10066,25/08/2022
12/07/2020,65,25/08/2022
12/07/2021,2005,25/08/2022
12/07/2022,110098,25/08/2022
12/08/2020,631,25/08/2022
12/08/2021,7156,25/08/2022
12/08/2022,24207,25/08/2022
12/09/2020,1223,25/08/2022
12/09/2021,1835,25/08/2022
12/10/2020,9591,25/08/2022
12/10/2021,2836,25/08/2022
12/11/2020,39286,25/08/2022
12/11/2021,9145,25/08/2022
12/12/2020,14335,25/08/2022
12/12/2021,9330,25/08/2022
13/01/2021,15515,25/08/2022
13/01/2022,176670,25/08/2022
13/02/2021,9858,25/08/2022
13/02/2022,24159,25/08/2022
13/03/2020,4101,25/08/2022
13/03/2021,20125,25/08/2022
13/03/2022,26606,25/08/2022
13/04/2020,2270,25/08/2022
13/04/2021,17356,25/08/2022
13/04/2022,65741,25/08/2022
13/05/2020,890,25/08/2022
13/05/2021,6722,25/08/2022
13/05/2022,36519,25/08/2022
13/06/2020,214,25/08/2022
13/06/2021,567,25/08/2022
13/06/2022,43090,25/08/2022
13/07/2020,192,25/08/2022
13/07/2021,2613,25/08/2022
13/07/2022,107409,25/08/2022
13/08/2020,548,25/08/2022
13/08/2021,7024,25/08/2022
13/08/2022,19038,25/08/2022
13/09/2020,597,25/08/2022
13/09/2021,4937,25/08/2022
13/10/2020,10478,25/08/2022
13/10/2021,2714,25/08/2022
13/11/2020,40085,25/08/2022
13/11/2021,7752,25/08/2022
13/12/2020,5776,25/08/2022
13/12/2021,25930,25/08/2022
14/01/2021,14714,25/08/2022
14/01/2022,181789,25/08/2022
14/02/2021,4405,25/08/2022
14/02/2022,78003,25/08/2022
14/03/2020,3533,25/08/2022
14/03/2021,8953,25/08/2022
14/03/2022,97891,25/08/2022
14/04/2020,3279,25/08/2022
14/04/2021,16362,25/08/2022
14/04/2022,62741,25/08/2022
14/05/2020,900,25/08/2022
14/05/2021,6580,25/08/2022
14/05/2022,27241,25/08/2022
14/06/2020,68,25/08/2022
14/06/2021,1468,25/08/2022
14/06/2022,33987,25/08/2022
