iss_date,DATARICOVERO1,RICOVERI
10/06/2021,28/12/2020,1343
10/06/2021,29/12/2020,1403
10/06/2021,30/12/2020,1323
10/06/2021,31/12/2020,1364
10/06/2021,01/01/2021,1143
10/06/2021,02/01/2021,1395
10/06/2021,03/01/2021,1194
10/06/2021,04/01/2021,1423
10/06/2021,05/01/2021,1453
10/06/2021,06/01/2021,1209
10/06/2021,07/01/2021,1397
10/06/2021,08/01/2021,1462
10/06/2021,09/01/2021,1271
10/06/2021,10/01/2021,1143
10/06/2021,11/01/2021,1337
10/06/2021,12/01/2021,1294
10/06/2021,13/01/2021,1281
10/06/2021,14/01/2021,1278
10/06/2021,15/01/2021,1246
10/06/2021,16/01/2021,1184
10/06/2021,17/01/2021,925
10/06/2021,18/01/2021,1155
10/06/2021,19/01/2021,1075
10/06/2021,20/01/2021,1071
10/06/2021,21/01/2021,1133
10/06/2021,22/01/2021,1058
10/06/2021,23/01/2021,987
10/06/2021,24/01/2021,853
10/06/2021,25/01/2021,1157
10/06/2021,26/01/2021,969
10/06/2021,27/01/2021,918
10/06/2021,28/01/2021,973
10/06/2021,29/01/2021,1015
10/06/2021,30/01/2021,896
10/06/2021,31/01/2021,821
10/06/2021,01/02/2021,1049
10/06/2021,02/02/2021,978
10/06/2021,03/02/2021,977
10/06/2021,04/02/2021,972
10/06/2021,05/02/2021,975
10/06/2021,06/02/2021,893
10/06/2021,07/02/2021,836
10/06/2021,08/02/2021,1027
10/06/2021,09/02/2021,945
10/06/2021,10/02/2021,997
10/06/2021,11/02/2021,975
10/06/2021,12/02/2021,934
10/06/2021,13/02/2021,850
10/06/2021,14/02/2021,730
10/06/2021,15/02/2021,973
10/06/2021,16/02/2021,943
10/06/2021,17/02/2021,1020
10/06/2021,18/02/2021,1051
10/06/2021,19/02/2021,1034
10/06/2021,20/02/2021,992
10/06/2021,21/02/2021,939
10/06/2021,22/02/2021,1193
10/06/2021,23/02/2021,1253
10/06/2021,24/02/2021,1191
10/06/2021,25/02/2021,1197
10/06/2021,26/02/2021,1341
10/06/2021,27/02/2021,1330
10/06/2021,28/02/2021,1158
10/06/2021,01/03/2021,1453
10/06/2021,02/03/2021,1634
10/06/2021,03/03/2021,1598
10/06/2021,04/03/2021,1571
10/06/2021,05/03/2021,1692
10/06/2021,06/03/2021,1569
10/06/2021,07/03/2021,1363
10/06/2021,08/03/2021,1832
10/06/2021,09/03/2021,1824
10/06/2021,10/03/2021,1823
10/06/2021,11/03/2021,1703
10/06/2021,12/03/2021,1852
10/06/2021,13/03/2021,1828
10/06/2021,14/03/2021,1588
10/06/2021,15/03/2021,2006
10/06/2021,16/03/2021,2027
10/06/2021,17/03/2021,1884
10/06/2021,18/03/2021,1801
10/06/2021,19/03/2021,1862
10/06/2021,20/03/2021,1801
10/06/2021,21/03/2021,1621
10/06/2021,22/03/2021,1893
10/06/2021,23/03/2021,1829
10/06/2021,24/03/2021,1784
10/06/2021,25/03/2021,1835
10/06/2021,26/03/2021,1893
10/06/2021,27/03/2021,1687
10/06/2021,28/03/2021,1388
10/06/2021,29/03/2021,1836
10/06/2021,30/03/2021,1740
10/06/2021,31/03/2021,1716
10/06/2021,01/04/2021,1703
10/06/2021,02/04/2021,1819
10/06/2021,03/04/2021,1594
10/06/2021,04/04/2021,1288
10/06/2021,05/04/2021,1353
10/06/2021,06/04/2021,1579
10/06/2021,07/04/2021,1453
10/06/2021,08/04/2021,1354
10/06/2021,09/04/2021,1358
10/06/2021,10/04/2021,1241
10/06/2021,11/04/2021,1104
10/06/2021,12/04/2021,1212
10/06/2021,13/04/2021,1287
10/06/2021,14/04/2021,1130
10/06/2021,15/04/2021,1105
10/06/2021,16/04/2021,1019
10/06/2021,17/04/2021,979
10/06/2021,18/04/2021,999
10/06/2021,19/04/2021,1088
10/06/2021,20/04/2021,1092
10/06/2021,21/04/2021,1064
10/06/2021,22/04/2021,959
10/06/2021,23/04/2021,1010
10/06/2021,24/04/2021,924
10/06/2021,25/04/2021,817
10/06/2021,26/04/2021,976
10/06/2021,27/04/2021,910
10/06/2021,28/04/2021,949
10/06/2021,29/04/2021,828
10/06/2021,30/04/2021,873
10/06/2021,01/05/2021,738
10/06/2021,02/05/2021,650
10/06/2021,03/05/2021,818
10/06/2021,04/05/2021,796
10/06/2021,05/05/2021,715
10/06/2021,06/05/2021,653
10/06/2021,07/05/2021,656
10/06/2021,08/05/2021,596
10/06/2021,09/05/2021,451
10/06/2021,10/05/2021,615
10/06/2021,11/05/2021,511
10/06/2021,12/05/2021,530
10/06/2021,13/05/2021,527
10/06/2021,14/05/2021,473
10/06/2021,15/05/2021,402
10/06/2021,16/05/2021,345
10/06/2021,17/05/2021,441
10/06/2021,18/05/2021,359
10/06/2021,19/05/2021,351
10/06/2021,20/05/2021,344
10/06/2021,21/05/2021,304
10/06/2021,22/05/2021,259
10/06/2021,23/05/2021,251
10/06/2021,24/05/2021,275
10/06/2021,25/05/2021,237
10/06/2021,26/05/2021,268
10/06/2021,27/05/2021,210
10/06/2021,28/05/2021,251
10/06/2021,29/05/2021,204
10/06/2021,30/05/2021,165
10/06/2021,31/05/2021,189
10/06/2021,01/06/2021,203
10/06/2021,02/06/2021,146
10/06/2021,03/06/2021,154
10/06/2021,04/06/2021,168
10/06/2021,05/06/2021,129
10/06/2021,06/06/2021,141
10/06/2021,07/06/2021,134
10/06/2021,08/06/2021,115
10/06/2021,09/06/2021,45
10/06/2021,10/06/2021,<5
10/06/2021,,3812604
