iss_date,DATA_DECESSO,DECESSI
11/06/2021,22/02/2021,286
11/06/2021,23/02/2021,292
11/06/2021,24/02/2021,236
11/06/2021,25/02/2021,248
11/06/2021,26/02/2021,281
11/06/2021,27/02/2021,272
11/06/2021,28/02/2021,237
11/06/2021,01/03/2021,301
11/06/2021,02/03/2021,283
11/06/2021,03/03/2021,317
11/06/2021,04/03/2021,307
11/06/2021,05/03/2021,306
11/06/2021,06/03/2021,282
11/06/2021,07/03/2021,299
11/06/2021,08/03/2021,305
11/06/2021,09/03/2021,312
11/06/2021,10/03/2021,344
11/06/2021,11/03/2021,370
11/06/2021,12/03/2021,388
11/06/2021,13/03/2021,351
11/06/2021,14/03/2021,296
11/06/2021,15/03/2021,363
11/06/2021,16/03/2021,418
11/06/2021,17/03/2021,388
11/06/2021,18/03/2021,404
11/06/2021,19/03/2021,386
11/06/2021,20/03/2021,364
11/06/2021,21/03/2021,395
11/06/2021,22/03/2021,379
11/06/2021,23/03/2021,449
11/06/2021,24/03/2021,439
11/06/2021,25/03/2021,418
11/06/2021,26/03/2021,424
11/06/2021,27/03/2021,361
11/06/2021,28/03/2021,373
11/06/2021,29/03/2021,440
11/06/2021,30/03/2021,403
11/06/2021,31/03/2021,432
11/06/2021,01/04/2021,431
11/06/2021,02/04/2021,430
11/06/2021,03/04/2021,431
11/06/2021,04/04/2021,369
11/06/2021,05/04/2021,391
11/06/2021,06/04/2021,462
11/06/2021,07/04/2021,388
11/06/2021,08/04/2021,416
11/06/2021,09/04/2021,397
11/06/2021,10/04/2021,368
11/06/2021,11/04/2021,367
11/06/2021,12/04/2021,395
11/06/2021,13/04/2021,368
11/06/2021,14/04/2021,330
11/06/2021,15/04/2021,310
11/06/2021,16/04/2021,303
11/06/2021,17/04/2021,324
11/06/2021,18/04/2021,289
11/06/2021,19/04/2021,295
11/06/2021,20/04/2021,307
11/06/2021,21/04/2021,322
11/06/2021,22/04/2021,261
11/06/2021,23/04/2021,307
11/06/2021,24/04/2021,297
11/06/2021,25/04/2021,263
11/06/2021,26/04/2021,285
11/06/2021,27/04/2021,222
11/06/2021,28/04/2021,257
11/06/2021,29/04/2021,228
11/06/2021,30/04/2021,234
11/06/2021,01/05/2021,199
11/06/2021,02/05/2021,207
11/06/2021,03/05/2021,205
11/06/2021,04/05/2021,250
11/06/2021,05/05/2021,200
11/06/2021,06/05/2021,180
11/06/2021,07/05/2021,179
11/06/2021,08/05/2021,162
11/06/2021,09/05/2021,155
11/06/2021,10/05/2021,193
11/06/2021,11/05/2021,185
11/06/2021,12/05/2021,149
11/06/2021,13/05/2021,139
11/06/2021,14/05/2021,136
11/06/2021,15/05/2021,131
11/06/2021,16/05/2021,119
11/06/2021,17/05/2021,133
11/06/2021,18/05/2021,116
11/06/2021,19/05/2021,103
11/06/2021,20/05/2021,111
11/06/2021,21/05/2021,82
11/06/2021,22/05/2021,99
11/06/2021,23/05/2021,77
11/06/2021,24/05/2021,80
11/06/2021,25/05/2021,83
11/06/2021,26/05/2021,69
11/06/2021,27/05/2021,73
11/06/2021,28/05/2021,70
11/06/2021,29/05/2021,64
11/06/2021,30/05/2021,44
11/06/2021,31/05/2021,57
11/06/2021,01/06/2021,56
11/06/2021,02/06/2021,33
11/06/2021,03/06/2021,60
11/06/2021,04/06/2021,37
11/06/2021,05/06/2021,47
11/06/2021,06/06/2021,36
11/06/2021,07/06/2021,54
11/06/2021,08/06/2021,31
11/06/2021,09/06/2021,28
11/06/2021,10/06/2021,17
11/06/2021,11/06/2021,<5
11/06/2021,,4096183
